Tanggal,Nama Produk,Jenis Transaksi,Dibuat,Terjual,Harga,Modal Satuan,Pemasukan,Pengeluaran
1/3/2021,bolu kukus,harian,39,39,2679.0,1200,60796.0,61554.0
1/3/2021,kue lapis,harian,42,40,1479.0,1100,100850.0,53529.0
1/3/2021,kue soes,pesanan,30,27,1369.0,1300,55269.0,19285.0
1/3/2021,risoles,harian,16,16,2202.0,1100,31487.0,12907.0
1/3/2021,tahu isi,harian,13,7,2302.0,1100,11023.0,20454.0
1/3/2021,kue lumpur,harian,38,33,2185.0,1200,50609.0,62568.0
1/3/2021,wingko,pesanan,40,37,2414.0,1200,112385.0,56442.0
1/3/2021,lemper,harian,18,11,1840.0,1200,33654.0,23899.0
2/3/2021,bolu kukus,harian,32,29,1913.0,1200,81845.0,23181.0
2/3/2021,kue lapis,harian,32,27,1778.0,1100,55634.0,48757.0
2/3/2021,kue soes,harian,10,6,2496.0,1300,13217.0,11262.0
2/3/2021,risoles,harian,26,25,1814.0,1100,71006.0,21991.0
2/3/2021,tahu isi,harian,17,12,1493.0,1100,15812.0,18094.0
2/3/2021,kue lumpur,harian,45,41,1804.0,1200,77337.0,80441.0
2/3/2021,wingko,harian,43,41,3732.0,1200,98428.0,75232.0
2/3/2021,lemper,harian,44,39,2205.0,1200,103572.0,50199.0
3/3/2021,bolu kukus,harian,19,18,1531.0,1200,45959.0,13466.0
3/3/2021,kue lapis,harian,41,34,2041.0,1100,74172.0,35370.0
3/3/2021,kue soes,harian,27,25,3398.0,1300,77748.0,42015.0
3/3/2021,risoles,harian,42,40,1175.0,1100,108469.0,34037.0
3/3/2021,tahu isi,harian,16,9,1268.0,1100,17592.0,18994.0
3/3/2021,kue lumpur,harian,49,47,1653.0,1200,101684.0,22586.0
3/3/2021,wingko,harian,18,15,3204.0,1200,42237.0,24153.0
3/3/2021,lemper,harian,27,25,1821.0,1200,62274.0,25511.0
4/3/2021,bolu kukus,harian,47,43,2969.0,1200,112672.0,55247.0
4/3/2021,kue lapis,harian,20,17,1350.0,1100,28911.0,25889.0
4/3/2021,kue soes,harian,24,24,2669.0,1300,71577.0,29908.0
4/3/2021,risoles,harian,31,28,2556.0,1100,63162.0,36541.0
4/3/2021,tahu isi,harian,39,34,2436.0,1100,80593.0,40103.0
4/3/2021,kue lumpur,pesanan,13,11,2477.0,1200,18698.0,14566.0
4/3/2021,wingko,pesanan,37,31,2225.0,1200,85884.0,39916.0
4/3/2021,lemper,harian,15,12,2802.0,1200,15689.0,8448.0
5/3/2021,bolu kukus,pesanan,11,9,1720.0,1200,17683.0,19799.0
5/3/2021,kue lapis,harian,16,12,1261.0,1100,29261.0,12707.0
5/3/2021,kue soes,harian,39,36,2477.0,1300,55238.0,62864.0
5/3/2021,risoles,harian,24,23,1788.0,1100,57316.0,19994.0
5/3/2021,tahu isi,harian,39,36,1719.0,1100,26837.0,28391.0
5/3/2021,kue lumpur,pesanan,46,42,1532.0,1200,56521.0,81055.0
5/3/2021,wingko,harian,44,40,1848.0,1200,100610.0,49592.0
5/3/2021,lemper,harian,36,32,1359.0,1200,69397.0,32834.0
6/3/2021,bolu kukus,harian,24,24,1473.0,1200,68037.0,33614.0
6/3/2021,kue lapis,harian,17,11,2599.0,1100,21548.0,13206.0
6/3/2021,kue soes,harian,20,19,2939.0,1300,20170.0,34146.0
6/3/2021,risoles,harian,16,16,1746.0,1100,34063.0,16829.0
6/3/2021,tahu isi,harian,12,9,2232.0,1100,19037.0,9138.0
6/3/2021,kue lumpur,harian,34,31,1714.0,1200,34401.0,28257.0
6/3/2021,wingko,harian,21,17,3333.0,1200,61083.0,24946.0
6/3/2021,lemper,harian,49,43,2502.0,1200,95581.0,59887.0
8/3/2021,bolu kukus,harian,47,43,1214.0,1200,98205.0,52450.0
8/3/2021,kue lapis,harian,37,31,1083.0,1100,29630.0,36766.0
8/3/2021,kue soes,harian,41,40,1314.0,1300,102515.0,55763.0
8/3/2021,risoles,harian,43,41,2391.0,1100,79365.0,53719.0
8/3/2021,tahu isi,harian,15,9,1179.0,1100,21611.0,9105.0
8/3/2021,kue lumpur,harian,47,41,1593.0,1200,107362.0,47908.0
